item_model_code_clean,log_model_failures_90d,model_failure_rate_90d,log_model_fleet_size
0521201,4.2626798770413155,0.0970873786407767,6.582025138892826
0121101,2.302585092994046,0.010625737898465172,6.742880635791903
0121103,0.0,0.0,6.8690144506657065
0321501,0.0,0.0,6.802394763324311
0420501,1.9459101490553132,0.018575851393188854,5.780743515792329
0420502,2.302585092994046,0.028846153846153848,5.746203190540153
0420503,2.4849066497880004,0.11224489795918367,4.59511985013459
0620505,3.9889840465642745,0.10860655737704918,6.192362489474872
0120201,4.787491742782046,0.04712871287128713,7.8343923029104365
0620302,3.4339872044851463,0.031578947368421054,6.85751406254539
0720301,4.23410650459726,0.0392156862745098,7.45876269238096
0521102,1.0986122886681098,0.004149377593360996,6.180016653652572
0521203,2.3978952727983707,0.03184713375796178,5.752572638825633
0521202,4.51085950651685,0.3333333333333333,5.602118820879701
0321302,1.3862943611198906,0.00625,6.175867270105761
0321301,0.6931471805599453,0.0020876826722338203,6.173786103901937
0220601,0.6931471805599453,0.0070921985815602835,4.955827057601261
0320203,0.0,0.0,5.135798437050262
0220402,0.6931471805599453,0.01694915254237288,4.0943445622221
0120401,2.4849066497880004,0.04296875,5.54907608489522
0120901,1.3862943611198906,0.02702702702702703,4.718498871295094
0121701,0.6931471805599453,0.007874015748031496,4.852030263919617
0721001,0.0,0.0,4.941642422609304
0120701,1.6094379124341003,0.03333333333333333,4.795790545596741
0120202,1.9459101490553132,0.023809523809523808,5.53338948872752
0120801,1.6094379124341003,0.02857142857142857,4.948759890378168
0221601,0.0,0.0,4.143134726391533
0121401,1.0986122886681098,0.0078125,5.54907608489522
0121603,2.8903717578961645,0.2125,4.394449154672439
0220602,0.0,0.0,4.709530201312334
0420504,2.302585092994046,0.045454545454545456,5.293304824724492
0121602,4.127134385045092,0.3860759493670886,5.0689042022202315
0420506,0.0,0.0,1.6094379124341003
0921610,3.5263605246161616,11.0,1.3862943611198906
0220603,0.0,0.0,2.4849066497880004
0420510,2.995732273553991,0.13380281690140844,4.962844630259907
0820604,0.0,0.0,2.4849066497880004
0120204,4.406719247264253,0.09225512528473805,6.778784897685177
1521405,3.8066624897703196,0.3142857142857143,4.948759890378168
1520512,3.6109179126442243,0.14937759336099585,5.488937726156687
1521403,2.70805020110221,0.14736842105263157,4.564348191467836
1420511,1.6094379124341003,0.19047619047619047,3.091042453358316
0121408,0.0,0.0,3.2188758248682006
0620517,1.3862943611198906,0.125,3.2188758248682006
0620307,0.0,0.0,3.871201010907891
0120702,0.0,0.0,3.1780538303479458
1920611,0.0,0.0,3.2188758248682006
1122001,0.0,0.0,5.877735781779639
0620308,0.0,0.0,1.9459101490553132
1921105,0.0,0.0,2.5649493574615367
1921303,0.0,0.0,2.5649493574615367
1921205,0.0,0.0,2.70805020110221
0820507,0.6931471805599453,0.029411764705882353,3.5553480614894135
1021402,0.6931471805599453,0.022727272727272728,3.8066624897703196
0821901,0.0,0.0,3.6109179126442243
0820605,0.0,0.0,3.6109179126442243
0921604,0.6931471805599453,0.02857142857142857,3.58351893845611
0521104,0.0,0.0,4.219507705176107
0620512,0.0,0.0,1.6094379124341003
0820607,0.0,0.0,2.0794415416798357
1620205,0.0,0.0,1.6094379124341003
0820303,0.0,0.0,4.969813299576001
1020511,0.0,0.0,1.0986122886681098
1020608,0.0,0.0,0.6931471805599453
1021406,0.0,0.0,1.0986122886681098
1021902,0.0,0.0,1.9459101490553132
1020513,0.0,0.0,2.1972245773362196
1020606,0.0,0.0,1.791759469228055
0521204,0.0,0.0,4.343805421853684
1020206,0.0,0.0,2.4849066497880004
1020516,0.0,0.0,0.6931471805599453
1021407,0.0,0.0,0.6931471805599453
1020609,0.0,0.0,1.791759469228055
1020514,0.0,0.0,1.791759469228055
1020610,0.0,0.0,1.791759469228055
1020515,0.0,0.0,0.6931471805599453
